State,share_white_st,share_black_st,share_hisp_st
AL,0.66,0.27,0.04
AK,0.62,0.03,0.07
AZ,0.56,0.04,0.31
AR,0.73,0.16,0.07
CA,0.38,0.05,0.39
CO,0.69,0.04,0.21
CT,0.68,0.1,0.16
DE,0.63,0.21,0.09
DC,0.35,0.47,0.11
FL,0.55,0.15,0.25
GA,0.54,0.31,0.09
HI,0.22,0.01,0.1
ID,0.83,0.01,0.12
IL,0.62,0.14,0.17
IN,0.8,0.09,0.07
IA,0.87,0.03,0.06
KS,0.77,0.06,0.12
KY,0.86,0.08,0.03
LA,0.59,0.32,0.05
ME,0.94,0.01,0.02
MD,0.52,0.29,0.1
MA,0.73,0.07,0.11
MI,0.76,0.14,0.05
MN,0.81,0.06,0.05
MS,0.57,0.38,0.03
M0,0.8,0.11,0.04
MT,0.87,0.01,0.04
NE,0.8,0.05,0.1
NV,0.51,0.08,0.28
NH,0.91,0.01,0.03
NJ,0.56,0.12,0.2
NM,0.38,0.02,0.48
NY,0.56,0.14,0.19
NC,0.64,0.21,0.09
ND,0.86,0.01,0.03
OH,0.8,0.12,0.04
OK,0.67,0.07,0.1
OR,0.77,0.02,0.13
PA,0.78,0.1,0.07
RI,0.73,0.05,0.15
SC,0.64,0.27,0.05
SD,0.83,0.01,0.03
TN,0.75,0.17,0.05
TX,0.43,0.12,0.39
UT,0.79,0.01,0.14
VT,0.94,0.01,0.02
VA,0.63,0.19,0.09
WA,0.7,0.04,0.12
WV,0.93,0.03,0.01
WI,0.82,0.06,0.07
WY,0.84,0.01,0.1
